Price,District,Town,Type,EnergyCertificate,Parking,ConstructionYear,TotalArea,Garage,Elevator,ElectricCarsCharging,NumberOfBedrooms,NumberOfWC,LivingArea,NumberOfBathrooms,Region
335000.0,Aveiro,São Lourenço do Bairro,House,E,0.0,1999.0,271.0,True,False,False,4.0,0.0,271.0,3.0,Centro
219900.0,Aveiro,"Santa Maria da Feira, Travanca, Sanfins e Espargo",Apartment,D,0.0,2008.0,126.0,True,True,False,3.0,1.0,126.0,3.0,Norte
162000.0,Aveiro,Cortegaça,House,NC,0.0,1950.0,95.0,True,False,False,2.0,1.0,95.0,2.0,Centro
240000.0,Aveiro,Esmoriz,Apartment,NC,1.0,2024.0,85.0,False,True,False,2.0,0.0,70.0,2.0,Centro
235000.0,Aveiro,Espinho,Apartment,A,1.0,2024.0,63.0,False,True,True,1.0,1.0,63.0,2.0,Norte
435000.0,Aveiro,Espinho,Apartment,A,0.0,2024.0,114.0,True,True,True,3.0,1.0,114.0,3.0,Norte
100000.0,Aveiro,"Ovar, São João, Arada e São Vicente de Pereira Jusã",House,NC,0.0,1964.0,60.0,False,False,False,3.0,0.0,120.0,0.0,Centro
695000.0,Aveiro,Mozelos,House,NC,1.0,1919.0,270.0,False,True,False,3.0,2.0,270.0,3.0,Norte
390000.0,Aveiro,Gafanha da Nazaré,Apartment,C,1.0,2003.0,137.0,False,True,False,2.0,2.0,100.0,2.0,Centro
274900.0,Aveiro,"Pinheiro da Bemposta, Travanca e Palmaz",House,E,0.0,2003.0,150.0,True,False,True,3.0,0.0,220.0,3.0,Centro
190000.0,Aveiro,São João de Ver,House,E,1.0,1970.0,64.0,False,False,False,2.0,0.0,64.0,2.0,Norte
97000.0,Aveiro,Sanguedo,House,NC,1.0,1967.0,175.0,False,False,False,4.0,0.0,99.0,2.0,Norte
299900.0,Aveiro,Esmoriz,Apartment,E,0.0,2001.0,144.0,True,True,False,3.0,0.0,131.0,3.0,Centro
198500.0,Aveiro,Fornos,Apartment,C,0.0,1999.0,128.0,True,True,False,3.0,1.0,128.0,3.0,Norte
56000.0,Aveiro,Recardães e Espinhel,House,NC,0.0,1976.0,74.0,False,False,False,2.0,1.0,74.0,1.0,Centro
59000.0,Aveiro,Palhaça,House,NC,0.0,1977.0,143.0,True,False,False,2.0,1.0,49.0,2.0,Centro
60000.0,Aveiro,Real,House,F,1.0,1982.0,49.0,False,False,False,3.0,0.0,49.0,1.0,Norte
220000.0,Aveiro,"Ovar, São João, Arada e São Vicente de Pereira Jusã",Apartment,E,1.0,1998.0,299.0,False,False,False,3.0,3.0,155.0,3.0,Centro
410000.0,Aveiro,Santa Joana,House,D,0.0,2009.0,258.0,True,False,False,4.0,0.0,258.0,3.0,Centro
119000.0,Aveiro,"Pinheiro da Bemposta, Travanca e Palmaz",Apartment,B,0.0,1996.0,120.0,True,False,False,3.0,0.0,120.0,2.0,Centro
215000.0,Aveiro,São Lourenço do Bairro,House,E,0.0,1996.0,200.0,True,False,False,3.0,1.0,180.0,3.0,Centro
380000.0,Aveiro,Fajões,House,F,0.0,1950.0,218.0,True,False,False,3.0,1.0,218.0,5.0,Centro
169900.0,Aveiro,Válega,House,E,0.0,1950.0,94.0,True,False,False,2.0,0.0,90.0,2.0,Centro
285000.0,Aveiro,São Bernardo,Apartment,D,0.0,2002.0,107.0,True,True,False,3.0,1.0,105.0,3.0,Centro
174000.0,Aveiro,Sangalhos,House,E,1.0,1958.0,75.0,False,False,False,2.0,2.0,75.0,2.0,Centro
195000.0,Aveiro,Glória e Vera Cruz,Apartment,A,0.0,2021.0,62.0,False,True,False,1.0,1.0,62.0,1.0,Centro
199500.0,Aveiro,Roge,House,E,1.0,2006.0,280.0,False,False,False,7.0,3.0,112.0,3.0,Centro
148000.0,Aveiro,"Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail",Apartment,C,1.0,2006.0,115.0,False,True,False,3.0,2.0,96.0,2.0,Centro
249000.0,Aveiro,Travassô e Óis da Ribeira,House,D,1.0,2007.0,171.0,False,False,False,3.0,0.0,171.0,3.0,Centro
199900.0,Aveiro,Válega,House,E,1.0,1995.0,120.0,True,False,False,4.0,0.0,120.0,1.0,Centro
177000.0,Aveiro,Milheirós de Poiares,House,E,1.0,1980.0,180.0,False,False,False,4.0,0.0,180.0,2.0,Norte
260000.0,Aveiro,Fermedo,House,A,0.0,2003.0,213.0,True,False,True,2.0,2.0,213.0,4.0,Norte
95000.0,Aveiro,Vacariça,House,F,1.0,1970.0,109.0,False,False,False,3.0,1.0,55.0,2.0,Centro
115000.0,Aveiro,"Tamengos, Aguim e Óis do Bairro",House,NC,0.0,1982.0,48.0,True,False,False,3.0,0.0,48.0,0.0,Centro
299000.0,Aveiro,São Pedro de Castelões,House,B,1.0,2021.0,201.0,False,False,False,4.0,0.0,201.0,3.0,Centro
125000.0,Aveiro,Cacia,Apartment,E,0.0,1985.0,82.0,False,False,False,1.0,1.0,82.0,1.0,Centro
440000.0,Aveiro,Gafanha da Nazaré,Apartment,D,0.0,1983.0,103.0,False,True,False,3.0,1.0,103.0,1.0,Centro
290000.0,Aveiro,Glória e Vera Cruz,Apartment,D,0.0,2023.0,104.0,False,False,False,3.0,2.0,121.0,2.0,Centro
189900.0,Aveiro,Eixo e Eirol,Apartment,F,0.0,1994.0,117.0,True,True,True,3.0,0.0,117.0,2.0,Centro
